RaceID,RaceName,PartyCode,AreaNum,CandidateID,CandidateName,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting,CandidateAbsenteeVotes,CandidateElectionDayVotes,CandidateEarlyVotes
8401,"United States Representative","IND","DISTRICT 1",14878,"VICTORIA L GONZALES (write in)",1,0,0,25/766,,,,
8401,"United States Representative","DEM","DISTRICT 1",14405,"MELANIE ANN STANSBURY",1,140054,0.566783891737454,25/766,,,,
8401,"United States Representative","REP","DISTRICT 1",14406,"MICHELLE GARCIA HOLMES",1,107049,0.433216108262546,25/766,,,,
8402,"United States Representative","REP","DISTRICT 2",14408,"YVETTE HERRELL",1,90416,0.502012692455041,116/650,,,,
8402,"United States Representative","DEM","DISTRICT 2",14884,"ELISEO LUNA (write in)",1,0,0,116/650,,,,
8402,"United States Representative","DEM","DISTRICT 2",14407,"GABRIEL VASQUEZ",1,89691,0.497987307544959,116/650,,,,
8403,"United States Representative","REP","DISTRICT 3",14410,"ALEXIS MARTINEZ JOHNSON",1,86356,0.452658891364172,438/747,,,,
8403,"United States Representative","DEM","DISTRICT 3",14409,"TERESA LEGER FERNANDEZ",1,104419,0.547341108635828,438/747,,,,
8745,"Governor and Lieutenant Governor","LIB","",14892,"KAREN EVETTE BEDONIE AND EFREN GALLARDO, JR",1,15241,0.0243845465875874,579/2163,,,,
8745,"Governor and Lieutenant Governor","REP","",14893,"MARK V RONCHETTI AND ANT L THORNTON",1,289809,0.463674369267248,579/2163,,,,
8745,"Governor and Lieutenant Governor","DEM","",14891,"MICHELLE LUJAN GRISHAM AND HOWIE C MORALES",1,319977,0.511941084145165,579/2163,,,,
8406,"Secretary of State","DEM","",14417,"MAGGIE TOULOUSE OLIVER",1,333215,0.538096207012376,579/2163,,,,
8406,"Secretary of State","LIB","",14419,"MAYNA ERIKA MYERS",1,17292,0.0279241919231067,579/2163,,,,
8406,"Secretary of State","REP","",14418,"AUDREY TRUJILLO",1,268741,0.433979601064517,579/2163,,,,
8409,"Attorney General","REP","",14421,"JEREMY MICHAEL GAY",1,281008,0.455621167459522,579/2163,,,,
8409,"Attorney General","DEM","",14420,"RAÚL TORREZ",1,335750,0.544378832540478,579/2163,,,,
8407,"State Auditor","LIB","",14903,"TRAVIS STEVEN SANCHEZ",1,220063,0.388971570783164,579/2163,,,,
8407,"State Auditor","DEM","",14422,"JOSEPH M MAESTAS",1,345693,0.611028429216836,579/2163,,,,
8408,"State Treasurer","REP","",14425,"HARRY B MONTOYA",1,291681,0.477080801521786,579/2163,,,,
8408,"State Treasurer","DEM","",14424,"LAURA M MONTOYA",1,319706,0.522919198478214,579/2163,,,,
8410,"Commissioner of Public Lands","IND","",14869,"LARRY E MARKER (write in)",1,34,5.60772018136027E-05,579/2163,,,,
8410,"Commissioner of Public Lands","DEM","",14426,"STEPHANIE GARCIA RICHARD",1,327621,0.54035496868748,579/2163,,,,
8410,"Commissioner of Public Lands","REP","",14427,"JEFFERSON L BYRD",1,278652,0.459588954110706,579/2163,,,,
8462,"State Representative","REP","DISTRICT 1",14583,"RODNEY D MONTOYA",1,9167,1,0/23,,,,
8463,"State Representative","IND","DISTRICT 2",14885,"MATT DODSON",1,2300,0.296544610624033,0/24,,,,
8463,"State Representative","REP","DISTRICT 2",14584,"P MARK DUNCAN",1,5456,0.703455389375967,0/24,,,,
8464,"State Representative","REP","DISTRICT 3",14585,"T RYAN LANE",1,8264,1,0/22,,,,
8465,"State Representative","DEM","DISTRICT 4",14586,"ANTHONY ALLISON",1,5954,1,0/23,,,,
8414,"State Representative","DEM","DISTRICT 5",14493,"DOREEN WONDA JOHNSON",1,4958,1,0/29,,,,
