RaceID,RaceName,PartyCode,AreaNum,CandidateID,CandidateName,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting,CandidateAbsenteeVotes,CandidateElectionDayVotes,CandidateEarlyVotes
8401,"United States Representative","IND","DISTRICT 1",14878,"VICTORIA L GONZALES (write in)",1,32,0.000114461085019548,766/766,,,,
8401,"United States Representative","DEM","DISTRICT 1",14405,"MELANIE ANN STANSBURY",1,155776,0.557196561875159,766/766,,,,
8401,"United States Representative","REP","DISTRICT 1",14406,"MICHELLE GARCIA HOLMES",1,123763,0.442688977039822,766/766,,,,
8402,"United States Representative","REP","DISTRICT 2",14408,"YVETTE HERRELL",1,95332,0.496784750231894,650/650,,,,
8402,"United States Representative","DEM","DISTRICT 2",14884,"ELISEO LUNA (write in)",1,10,5.21110173112799E-05,650/650,,,,
8402,"United States Representative","DEM","DISTRICT 2",14407,"GABRIEL VASQUEZ",1,96556,0.503163138750795,650/650,,,,
8403,"United States Representative","REP","DISTRICT 3",14410,"ALEXIS MARTINEZ JOHNSON",1,96141,0.418966148375401,747/747,,,,
8403,"United States Representative","DEM","DISTRICT 3",14409,"TERESA LEGER FERNANDEZ",1,133331,0.581033851624599,747/747,,,,
8745,"Governor and Lieutenant Governor","LIB","",14892,"KAREN EVETTE BEDONIE AND EFREN GALLARDO, JR",1,17309,0.0244105037513398,2163/2163,,,,
8745,"Governor and Lieutenant Governor","REP","",14893,"MARK V RONCHETTI AND ANT L THORNTON",1,323533,0.456271506741129,2163/2163,,,,
8745,"Governor and Lieutenant Governor","DEM","",14891,"MICHELLE LUJAN GRISHAM AND HOWIE C MORALES",1,368238,0.519317989507531,2163/2163,,,,
8406,"Secretary of State","DEM","",14417,"MAGGIE TOULOUSE OLIVER",1,382572,0.544820691599805,2163/2163,,,,
8406,"Secretary of State","LIB","",14419,"MAYNA ERIKA MYERS",1,19951,0.0284122142187816,2163/2163,,,,
8406,"Secretary of State","REP","",14418,"AUDREY TRUJILLO",1,299675,0.426767094181413,2163/2163,,,,
8409,"Attorney General","REP","",14421,"JEREMY MICHAEL GAY",1,312894,0.447317970690032,2163/2163,,,,
8409,"Attorney General","DEM","",14420,"RAÚL TORREZ",1,386595,0.552682029309968,2163/2163,,,,
8407,"State Auditor","LIB","",14903,"TRAVIS STEVEN SANCHEZ",1,244828,0.380972239512013,2163/2163,,,,
8407,"State Auditor","DEM","",14422,"JOSEPH M MAESTAS",1,397812,0.619027760487987,2163/2163,,,,
8408,"State Treasurer","REP","",14425,"HARRY B MONTOYA",1,325042,0.468887898340928,2163/2163,,,,
8408,"State Treasurer","DEM","",14424,"LAURA M MONTOYA",1,368177,0.531112101659072,2163/2163,,,,
8410,"Commissioner of Public Lands","IND","",14869,"LARRY E MARKER (write in)",1,547,0.00079507547402923,2163/2163,,,,
8410,"Commissioner of Public Lands","DEM","",14426,"STEPHANIE GARCIA RICHARD",1,377676,0.548959643015473,2163/2163,,,,
8410,"Commissioner of Public Lands","REP","",14427,"JEFFERSON L BYRD",1,309762,0.450245281510498,2163/2163,,,,
8462,"State Representative","REP","DISTRICT 1",14583,"RODNEY D MONTOYA",1,9171,1,23/23,,,,
8463,"State Representative","IND","DISTRICT 2",14885,"MATT DODSON",1,2309,0.297092125579002,24/24,,,,
8463,"State Representative","REP","DISTRICT 2",14584,"P MARK DUNCAN",1,5463,0.702907874420998,24/24,,,,
