RaceID,RaceName,PartyCode,AreaNum,CandidateID,CandidateName,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting,CandidateAbsenteeVotes,CandidateElectionDayVotes,CandidateEarlyVotes
8401,"United States Representative","IND","DISTRICT 1",14878,"VICTORIA L GONZALES (write in)",1,32,0.000121536679390038,609/766,,,,
8401,"United States Representative","DEM","DISTRICT 1",14405,"MELANIE ANN STANSBURY",1,148656,0.564598644106421,609/766,,,,
8401,"United States Representative","REP","DISTRICT 1",14406,"MICHELLE GARCIA HOLMES",1,114607,0.435279819214189,609/766,,,,
8402,"United States Representative","REP","DISTRICT 2",14408,"YVETTE HERRELL",1,94017,0.501812067999253,383/650,,,,
8402,"United States Representative","DEM","DISTRICT 2",14884,"ELISEO LUNA (write in)",1,9,4.80371487283499E-05,383/650,,,,
8402,"United States Representative","DEM","DISTRICT 2",14407,"GABRIEL VASQUEZ",1,93329,0.498139894852019,383/650,,,,
8403,"United States Representative","REP","DISTRICT 3",14410,"ALEXIS MARTINEZ JOHNSON",1,93077,0.42296384151523,616/747,,,,
8403,"United States Representative","DEM","DISTRICT 3",14409,"TERESA LEGER FERNANDEZ",1,126982,0.57703615848477,616/747,,,,
8745,"Governor and Lieutenant Governor","LIB","",14892,"KAREN EVETTE BEDONIE AND EFREN GALLARDO, JR",1,16558,0.0244082927462056,1608/2163,,,,
8745,"Governor and Lieutenant Governor","REP","",14893,"MARK V RONCHETTI AND ANT L THORNTON",1,309155,0.4557280917957,1608/2163,,,,
8745,"Governor and Lieutenant Governor","DEM","",14891,"MICHELLE LUJAN GRISHAM AND HOWIE C MORALES",1,352663,0.519863615458094,1608/2163,,,,
8406,"Secretary of State","DEM","",14417,"MAGGIE TOULOUSE OLIVER",1,366260,0.545118992692256,1608/2163,,,,
8406,"Secretary of State","LIB","",14419,"MAYNA ERIKA MYERS",1,19010,0.0282933218235128,1608/2163,,,,
8406,"Secretary of State","REP","",14418,"AUDREY TRUJILLO",1,286620,0.426587685484231,1608/2163,,,,
8409,"Attorney General","REP","",14421,"JEREMY MICHAEL GAY",1,299475,0.447490556339207,1608/2163,,,,
8409,"Attorney General","DEM","",14420,"RAÚL TORREZ",1,369757,0.552509443660793,1608/2163,,,,
8407,"State Auditor","LIB","",14903,"TRAVIS STEVEN SANCHEZ",1,234550,0.381616047560863,1608/2163,,,,
8407,"State Auditor","DEM","",14422,"JOSEPH M MAESTAS",1,380073,0.618383952439137,1608/2163,,,,
8408,"State Treasurer","REP","",14425,"HARRY B MONTOYA",1,310978,0.468821892365351,1608/2163,,,,
8408,"State Treasurer","DEM","",14424,"LAURA M MONTOYA",1,352340,0.531178107634649,1608/2163,,,,
8410,"Commissioner of Public Lands","IND","",14869,"LARRY E MARKER (write in)",1,532,0.000808139729182047,1608/2163,,,,
8410,"Commissioner of Public Lands","DEM","",14426,"STEPHANIE GARCIA RICHARD",1,361147,0.548603832283663,1608/2163,,,,
8410,"Commissioner of Public Lands","REP","",14427,"JEFFERSON L BYRD",1,296623,0.450588027987155,1608/2163,,,,
8462,"State Representative","REP","DISTRICT 1",14583,"RODNEY D MONTOYA",1,9171,1,0/23,,,,
8463,"State Representative","IND","DISTRICT 2",14885,"MATT DODSON",1,2309,0.297092125579002,0/24,,,,
8463,"State Representative","REP","DISTRICT 2",14584,"P MARK DUNCAN",1,5463,0.702907874420998,0/24,,,,
8464,"State Representative","REP","DISTRICT 3",14585,"T RYAN LANE",1,8266,1,0/22,,,,
8465,"State Representative","DEM","DISTRICT 4",14586,"ANTHONY ALLISON",1,5991,1,0/23,,,,
8414,"State Representative","DEM","DISTRICT 5",14493,"DOREEN WONDA JOHNSON",1,7236,1,22/29,,,,
8415,"State Representative","DEM","DISTRICT 6",14494,"ELISEO LEE ALCON",1,4888,0.626586335085246,30/30,,,,
8415,"State Representative","REP","DISTRICT 6",14495,"JERRI D ROWE",1,2913,0.373413664914755,30/30,,,,
8475,"State Representative","DEM","DISTRICT 7",14714,"DANNY M BERNAL JR",1,2684,0.387693196591073,0/24,,,,
8475,"State Representative","REP","DISTRICT 7",14713,"TANYA R MIRABAL MOYA",1,4239,0.612306803408927,0/24,,,,
8476,"State Representative","DEM","DISTRICT 8",14862,"PAUL MATTHEW KINZELMAN (write in)",1,0,0,0/27,,,,
8476,"State Representative","REP","DISTRICT 8",14715,"BRIAN G BACA",1,7577,1,0/27,,,,
8477,"State Representative","DEM","DISTRICT 9",14751,"PATRICIA 'PATTY' A LUNDSTROM",1,5275,1,27/27,,,,
8437,"State Representative","REP","DISTRICT 10",14526,"MARY KAY INGHAM",1,3161,0.414448669201521,28/28,,,,
